model,accuracy,macro_f1,precision,recall,exact_match,avg_positive_probability,roc_auc,pr_auc,brier_score,labels,training_wall_seconds
Logistic Regression,0.66645,0.6342648606236756,0.6443818279301308,0.6908333333333334,0.66645,0.475881331671065,0.7475573,0.41734694180211623,0.21622420037711632,,38.16
Calibrated LinearSVC,0.75,0.42857142857142855,0.375,0.5,0.75,0.24998576698349007,0.6040510066666667,0.3185252943429612,0.1872645247141028,,38.16
Hard Voting Ensemble,0.66645,0.6342648606236756,0.6443818279301308,0.6908333333333334,0.66645,,0.0,0.0,0.0,,38.16
Soft Voting Ensemble,0.7484,0.43457497612225404,0.5452261306532663,0.5012,0.7484,0.3629335493272775,0.7473703266666666,0.4175547416887394,0.18555837866932967,,38.16
ComplementNB question type,0.8691,0.7858902781836872,,,,,,,,"['how', 'other', 'what', 'when', 'where', 'who', 'why']",38.16
Stacking Ensemble,0.62805,0.606200506688505,0.6353880774761889,0.6803666666666667,0.62805,0.4996922784778296,0.7306244466666667,0.39756799978728197,0.24822136691682958,,38.16
XGBoost Optional,0.63075,0.5758574438777484,0.5797157234865109,0.6011666666666666,0.63075,0.4912618100643158,0.6513693866666667,0.39033955617432603,0.2366522252559662,,38.16
